업종,회사명,처리상태,원본로고영역,처리후로고영역,적용배율,파일경로
LIFE,ABL생명,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_life/LIFE/ABL생명.png
LIFE,AIA생명,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_life/LIFE/AIA생명.png
LIFE,BNP파리바카디프생명,excluded_keep,,,,/mnt/data/logo_resize_work/output_life/LIFE/BNP파리바카디프생명.png
LIFE,DB생명,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_life/LIFE/DB생명.png
LIFE,IBK연금보험,scaled_2x,"(512, 512)","(488, 488)",0.953125,/mnt/data/logo_resize_work/output_life/LIFE/IBK연금보험.png
LIFE,KB라이프생명,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_life/LIFE/KB라이프생명.png
LIFE,KDB생명,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_life/LIFE/KDB생명.png
LIFE,NH농협생명,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_life/LIFE/NH농협생명.png
LIFE,iM라이프생명,scaled_2x,"(167, 148)","(334, 296)",2.0,/mnt/data/logo_resize_work/output_life/LIFE/iM라이프생명.png
LIFE,교보라이프플래닛생명,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_life/LIFE/교보라이프플래닛생명.png
LIFE,교보생명,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_life/LIFE/교보생명.png
LIFE,동양생명,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_life/LIFE/동양생명.png
LIFE,라이나생명,excluded_keep,,,,/mnt/data/logo_resize_work/output_life/LIFE/라이나생명.png
LIFE,메트라이프생명,scaled_2x,"(153, 184)","(306, 368)",2.0,/mnt/data/logo_resize_work/output_life/LIFE/메트라이프생명.png
LIFE,미래에셋생명,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_life/LIFE/미래에셋생명.png
LIFE,삼성생명,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_life/LIFE/삼성생명.png
LIFE,신한라이프생명,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_life/LIFE/신한라이프생명.png
LIFE,처브라이프생명,scaled_2x,"(173, 21)","(346, 42)",2.0,/mnt/data/logo_resize_work/output_life/LIFE/처브라이프생명.png
LIFE,푸본현대생명,scaled_2x,"(196, 197)","(392, 394)",2.0,/mnt/data/logo_resize_work/output_life/LIFE/푸본현대생명.png
LIFE,하나생명,scaled_2x,"(147, 196)","(294, 392)",2.0,/mnt/data/logo_resize_work/output_life/LIFE/하나생명.png
LIFE,한화생명,scaled_2x,"(155, 147)","(310, 294)",2.0,/mnt/data/logo_resize_work/output_life/LIFE/한화생명.png
LIFE,흥국생명,excluded_keep,,,,/mnt/data/logo_resize_work/output_life/LIFE/흥국생명.png
