업종,회사명,처리상태,원본로고영역,처리후로고영역,적용배율,파일경로
NONLIFE,AIG손해보험,excluded_keep,,,,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/AIG손해보험.png
NONLIFE,AXA손해보험,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/AXA손해보험.png
NONLIFE,DB손해보험,scaled_2x,"(299, 206)","(488, 336)",1.6321070234113713,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/DB손해보험.png
NONLIFE,KB손해보험,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/KB손해보험.png
NONLIFE,MG손해보험,scaled_2x,"(126, 126)","(252, 252)",2.0,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/MG손해보험.png
NONLIFE,NH농협손해보험,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/NH농협손해보험.png
NONLIFE,라이나손해보험,excluded_keep,,,,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/라이나손해보험.png
NONLIFE,롯데손해보험,scaled_2x,"(178, 94)","(356, 188)",2.0,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/롯데손해보험.png
NONLIFE,마이브라운반려동물전문보험,scaled_2x,"(136, 152)","(272, 304)",2.0,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/마이브라운반려동물전문보험.png
NONLIFE,메리츠화재,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/메리츠화재.png
NONLIFE,삼성화재,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/삼성화재.png
NONLIFE,서울보증보험,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/서울보증보험.png
NONLIFE,신한EZ손해보험,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/신한EZ손해보험.png
NONLIFE,예별손해보험,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/예별손해보험.png
NONLIFE,카카오페이손해보험,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/카카오페이손해보험.png
NONLIFE,캐롯손해보험,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/캐롯손해보험.png
NONLIFE,하나손해보험,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/하나손해보험.png
NONLIFE,한화손해보험,scaled_2x,"(244, 244)","(488, 488)",2.0,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/한화손해보험.png
NONLIFE,현대해상,scaled_2x,"(244, 202)","(488, 404)",2.0,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/현대해상.png
NONLIFE,흥국화재,scaled_2x,"(164, 174)","(328, 348)",2.0,/mnt/data/logo_resize_work/output_nonlife/NONLIFE/흥국화재.png
